hournorain,t2mmax,t2mmean,t2mmin,tprecmax,t2m,ts,qv2m,prectot,speed,dmc,fwi,dsr,dc,isi,bui,ffmc,fcount_terra,frp_terra,fcount_aqua,frp_aqua,year,month,day
0.2661,0.049,0.265,0.5053,-0.5522,0.265,0.189,0.4399,-0.4477,-0.4247,-0.1755,0.4436,0.6082,-0.0714,0.5862,-0.1337,0.1762,10,0.22,8,0.2,2006,6,11
-0.3832,-0.2236,0.0703,0.2024,-0.2336,0.0704,0.0249,0.5478,-0.1096,0.6708,-0.1417,0.8564,1.14,-0.0645,1.2354,-0.1077,0.0066,8,0.25,12,5.58,2006,6,12
-0.3316,-0.6249,-0.4385,-0.0428,1.5909,-0.4385,-0.5811,0.2502,0.9908,1.4451,-0.1592,1.113,1.8741,-0.0594,1.9504,-0.1224,-0.6096,11,0.49,17,0.3,2006,6,13
-1.0843,-1.2593,-1.322,-1.1207,2.082,-1.322,-1.2345,0.2304,1.2824,0.662,-0.1964,-1.1456,-1.1178,-0.0646,-1.2263,-0.1609,-0.9465,10,0.26,4,0.66,2006,6,14
-1.1608,-1.1476,-0.9484,-0.62,0.1031,-0.9484,-0.8574,0.6283,0.1717,-0.371,-0.2013,-0.9245,-0.9799,-0.0648,-1.0838,-0.1712,-0.6187,13,0.3,4,0.23,2006,6,15
1.0086,0.0613,-0.2018,-0.2488,-0.4477,-0.2018,-0.1827,0.477,-0.3627,0.0142,-0.1794,-0.5368,-0.6637,-0.0609,-0.7029,-0.1576,0.0456,1,0.04,2,0.04,2006,6,16
1.4659,0.5954,0.641,0.6314,-0.4981,0.641,0.5464,0.4183,-0.4689,-1.0052,-0.1486,-0.5513,-0.7782,-0.0552,-0.8029,-0.1361,0.3024,1,0.02,5,0.26,2006,6,17
1.6503,0.7015,0.7628,0.6597,-0.5121,0.7628,0.5841,0.2609,-0.4383,-0.583,-0.1162,0.3741,0.3212,-0.049,0.3327,-0.1118,0.3915,0,0,3,0.1,2006,6,18
1.3526,0.2543,0.2984,0.2173,-0.535,0.2984,0.2852,0.2162,-0.4768,0.6412,-0.101,0.629,0.7952,-0.0468,0.8216,-0.1042,0.2998,6,0.15,12,8.79,2006,6,19
1.6208,0.2349,0.1847,0.0176,-0.3882,0.1847,0.2657,0.0797,-0.3413,-0.2963,-0.0821,-0.3738,-0.5006,-0.0415,-0.5525,-0.0919,0.3396,13,0.57,31,9.16,2006,6,20
1.9222,0.445,0.4008,0.2023,-0.5351,0.4008,0.4395,-0.2185,-0.5198,-0.6752,-0.0476,-0.3082,-0.5129,-0.0374,-0.5273,-0.0675,0.5245,0,0,13,6.62,2006,6,21
1.8891,1.1048,0.786,0.5849,-0.4715,0.786,0.8334,-0.4076,-0.4864,-1.127,-0.0124,-0.6997,-0.8751,-0.0329,-0.9117,-0.0438,0.9074,3,0.14,11,0.76,2006,6,22
1.2644,1.618,1.5372,1.3225,-0.6108,1.5371,1.3167,-0.0463,-0.5515,-1.9778,0.0151,-0.5361,-0.7194,-0.0274,-0.7788,-0.0259,1.0088,0,0,2,0.07,2006,6,23
0.5374,1.7018,1.727,1.5883,-0.4277,1.727,1.6242,0.3673,-0.4055,-1.683,0.0674,-0.6152,-0.7919,-0.0202,-0.8476,0.0119,0.9012,1,0.01,3,0.04,2006,6,24
-0.8492,1.7213,1.9754,2.1155,-0.3958,1.9754,1.9222,0.6936,-0.4675,-1.155,0.1268,-0.3702,-0.6151,-0.0053,-0.6559,0.0631,0.8164,1,0.01,1,0.49,2006,6,25
-1.2769,1.4574,1.7883,2.0434,-0.099,1.7883,1.8837,1.3375,-0.3909,-1.2709,0.1952,-0.2543,-0.4784,0.0044,-0.5161,0.1178,0.7083,44,2.87,29,1.21,2006,6,26
-1.6756,0.8975,1.4083,2.0557,3.3046,1.4083,1.3815,1.9982,0.9138,-1.157,0.0422,-0.3262,-0.4817,0.0099,-0.5488,-0.0177,0.1659,76,8.54,77,4.57,2006,6,27
